爸爸在上午 8：00從家裡出發，開車45分鐘到達公司，到公司的時間是上午幾點幾分？,8：45,8：30,8：15,9：00
媽媽上午到公園運動30分鐘，運動結束時是上午6點30分，他開始運動是上午幾點？,6點,7點,6點27分,6點10分
現在是下午6點，再過60分鐘就可以吃晚飯了，吃晚飯時是下午幾點幾分？,7點,6點30分,7點30分,8點
芬芬在上午7：30起床，小玉在上午7：35起床，誰比較晚起床？,小玉,芬芬,一樣,陳秉謙
從5時到6時，分針走了幾圈？,1,5,60,6
時鐘1圈是幾小格？,60,12,5,1
分針走1圈是幾分鐘？,60,10,5,1
1小時是幾分鐘？,60,5,10,1
11時到12時，時針走了幾大格？,1,5,10,60
時針走1大格是幾小時？,1,5,10,60
從4時到6時，分針走了幾圈？,2,1,12,5
俊英從下午8時開始寫書法，寫到下午9時，他寫了幾小時？,1,2,3,4
城城從7時開始整理房間，到上午10時結束，他整理了幾小時？,3,2,1,4
現在是7時，分針走了1小格，是幾時幾分？,07：01,07：05,07：30,08：00
鐘面上時鐘指在數字10和11之間，分針指在4的位置，現在是幾點幾分？,10：20,11：20,10：04,11：04
從7：55到8：00，長針走了幾小格？,5,1,10,60
長針從1走到4是幾分鐘？,15,3,1,30
